Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Fuel_Price_Category
SC-10877,2024-12-26,Singapore,Los Angeles,Air,Electronics,10054.4,334.96,2.99,0.1,Storm,0.652,1.32,0,Medium
SC-10878,2025-12-20,Los Angeles,Busan,Sea,Electronics,892.89,224.59,1.53,0.7,Rain,0.97,1.98,0,Low
SC-10879,2025-04-09,Shanghai,Antwerp,Sea,Pharmaceuticals,3718.6,244.46,4.28,2.2,Fog,0.625,8.4,1,High
SC-10880,2024-10-04,Rotterdam,Busan,Road,Automotive,3850.58,102.92,2.44,0.3,Fog,0.657,2.39,0,Medium
SC-10881,2024-11-09,Singapore,Antwerp,Air,Perishables,10242.44,313.77,1.47,5.0,Clear,0.814,0.65,1,Low
SC-10882,2024-09-14,Busan,Hamburg,Air,Textiles,785.8,180.01,2.48,3.1,Rain,0.881,0.5,1,Medium
SC-10883,2024-08-24,Los Angeles,Dubai,Rail,Perishables,2009.57,497.83,3.18,1.8,Clear,0.751,1.59,1,Medium
SC-10884,2024-05-03,Dubai,Shanghai,Sea,Electronics,12098.78,240.61,2.9,7.5,Hurricane,0.941,185.62,1,Medium
SC-10885,2024-07-16,Antwerp,Marseille,Sea,Perishables,3088.9,243.46,3.49,2.0,Rain,0.52,6.06,1,Medium
SC-10886,2024-11-19,Hamburg,Antwerp,Air,Pharmaceuticals,9964.82,283.36,1.38,6.9,Hurricane,0.961,6.35,1,Low
SC-10887,2024-05-02,Busan,Los Angeles,Sea,Electronics,3953.65,458.46,2.14,3.5,Clear,0.598,6.17,0,Medium
SC-10888,2025-07-02,Dubai,Marseille,Sea,Perishables,1941.9,400.61,3.9,5.1,Storm,0.942,10.09,1,Medium
SC-10889,2025-12-07,Busan,Dubai,Road,Electronics,4026.0,226.11,1.46,9.3,Fog,0.7,4.75,1,Low
SC-10890,2024-07-08,Singapore,Shanghai,Sea,Pharmaceuticals,10972.87,359.63,4.02,0.4,Hurricane,0.916,123.86,1,High
SC-10891,2024-07-15,Dubai,Busan,Rail,Textiles,12907.6,293.53,1.5,5.0,Clear,0.836,10.74,0,Low
SC-10892,2024-08-09,Shanghai,Rotterdam,Air,Perishables,12538.19,246.69,3.95,8.5,Fog,0.588,0.74,1,Medium
SC-10893,2025-05-10,Rotterdam,Singapore,Road,Perishables,6259.16,96.97,2.39,5.9,Clear,0.959,5.5,0,Medium
SC-10894,2024-10-10,Singapore,Hamburg,Air,Pharmaceuticals,10187.23,232.5,3.22,2.8,Hurricane,0.623,3.79,1,Medium
SC-10895,2025-08-26,Hamburg,Antwerp,Air,Electronics,3472.27,123.66,1.7,4.0,Clear,0.622,0.9,0,Low
SC-10896,2025-06-21,Antwerp,Hamburg,Sea,Pharmaceuticals,4750.64,457.51,1.42,6.8,Rain,0.907,11.23,0,Low
SC-10897,2025-09-03,Shanghai,Dubai,Rail,Electronics,13496.87,168.37,1.91,8.9,Rain,0.553,16.51,1,Low
SC-10898,2024-10-16,Busan,Antwerp,Rail,Electronics,688.53,476.18,1.62,0.4,Rain,0.611,0.5,0,Low
SC-10899,2024-04-12,Rotterdam,Singapore,Road,Textiles,1739.87,266.99,2.23,0.7,Clear,0.752,0.5,0,Medium
SC-10900,2024-07-17,Los Angeles,Shanghai,Road,Automotive,3514.35,316.14,2.9,3.3,Clear,0.915,2.16,0,Medium
SC-10901,2024-10-30,Hamburg,Rotterdam,Rail,Pharmaceuticals,884.72,271.93,3.14,2.3,Fog,0.574,1.34,0,Medium
SC-10902,2024-08-20,Antwerp,Dubai,Road,Perishables,3130.81,65.56,3.81,2.6,Fog,0.774,3.17,0,Medium
SC-10903,2025-01-04,Singapore,Antwerp,Air,Perishables,8954.1,188.53,3.37,2.2,Hurricane,0.856,3.62,1,Medium
SC-10904,2024-07-02,Shanghai,Rotterdam,Air,Pharmaceuticals,6610.66,50.47,3.21,2.0,Fog,0.93,1.14,0,Medium
SC-10905,2024-11-05,Los Angeles,Dubai,Air,Electronics,13443.74,311.85,2.56,1.3,Clear,0.968,1.59,0,Medium
SC-10906,2024-01-15,Antwerp,Los Angeles,Road,Textiles,12352.93,223.99,2.76,9.3,Fog,0.892,16.07,1,Medium
SC-10907,2025-12-26,Busan,Shanghai,Rail,Automotive,5456.35,389.21,2.57,1.4,Fog,0.826,6.15,0,Medium
SC-10908,2025-06-30,Los Angeles,Marseille,Air,Pharmaceuticals,4261.64,111.01,3.98,2.0,Fog,0.717,0.5,0,Medium
SC-10909,2024-05-09,Singapore,Dubai,Air,Perishables,6005.54,83.12,1.96,2.5,Rain,0.556,0.5,1,Low
SC-10910,2024-10-07,Los Angeles,Dubai,Road,Textiles,9059.28,203.76,1.22,9.3,Storm,0.855,23.98,1,Low
SC-10911,2024-02-16,Busan,Rotterdam,Road,Textiles,4386.92,463.37,3.35,7.6,Rain,0.996,4.49,1,Medium
SC-10912,2024-02-25,Shanghai,Dubai,Rail,Electronics,9550.16,355.5,1.87,7.9,Rain,0.868,10.85,1,Low
SC-10913,2025-07-20,Los Angeles,Shanghai,Road,Electronics,6436.47,210.04,4.14,1.0,Rain,0.508,4.7,0,High
SC-10914,2024-10-26,Busan,Singapore,Sea,Automotive,8504.68,259.12,4.03,8.4,Rain,0.748,19.88,1,High
SC-10915,2025-12-15,Antwerp,Dubai,Rail,Perishables,6823.83,43.02,1.45,4.1,Fog,0.807,8.42,0,Low
SC-10916,2024-05-09,Hamburg,Singapore,Sea,Perishables,4769.75,492.3,1.55,2.6,Clear,0.845,7.71,0,Low
SC-10917,2025-10-15,Dubai,Marseille,Road,Textiles,14252.57,333.54,2.83,5.8,Hurricane,0.86,86.42,1,Medium
SC-10918,2025-05-17,Rotterdam,Los Angeles,Road,Automotive,11572.28,143.42,3.21,8.2,Storm,0.779,29.12,1,Medium
SC-10919,2024-04-15,Singapore,Busan,Air,Electronics,2531.64,293.32,2.11,7.8,Hurricane,0.612,1.64,1,Medium
SC-10920,2024-01-13,Shanghai,Dubai,Sea,Electronics,13092.79,55.63,3.57,8.9,Rain,0.971,31.25,0,Medium
SC-10921,2025-08-10,Hamburg,Los Angeles,Sea,Electronics,7567.75,482.95,3.16,9.3,Clear,0.848,15.15,0,Medium
SC-10922,2024-10-18,Busan,Shanghai,Road,Perishables,13471.01,88.22,2.27,2.4,Rain,0.618,10.54,0,Medium
SC-10923,2025-04-25,Hamburg,Antwerp,Rail,Pharmaceuticals,12097.9,324.37,1.28,4.2,Fog,0.661,15.03,1,Low
SC-10924,2025-05-05,Los Angeles,Hamburg,Air,Pharmaceuticals,6665.6,123.48,3.68,0.1,Hurricane,0.961,2.8,1,Medium
SC-10925,2025-03-27,Dubai,Los Angeles,Road,Automotive,825.8,359.06,1.91,8.8,Storm,0.944,2.19,1,Low
SC-10926,2024-12-14,Singapore,Los Angeles,Sea,Textiles,4395.82,388.63,3.95,1.5,Hurricane,0.703,51.57,1,Medium
SC-10927,2024-07-07,Los Angeles,Shanghai,Rail,Electronics,8353.7,337.04,2.59,8.6,Storm,0.519,25.23,1,Medium
SC-10928,2024-02-22,Shanghai,Hamburg,Air,Electronics,9685.43,307.64,3.1,3.3,Fog,0.524,0.74,0,Medium
SC-10929,2024-09-15,Los Angeles,Shanghai,Rail,Perishables,4239.37,446.34,4.08,3.7,Rain,0.642,5.15,1,High
SC-10930,2025-05-04,Antwerp,Marseille,Rail,Pharmaceuticals,2520.66,40.23,4.05,0.4,Fog,0.815,2.08,1,High
SC-10931,2024-04-26,Dubai,Antwerp,Air,Textiles,12606.49,166.13,2.43,3.3,Clear,0.792,0.5,0,Medium
SC-10932,2024-03-07,Singapore,Dubai,Road,Perishables,14773.83,124.9,1.89,8.9,Clear,0.817,12.6,1,Low
SC-10933,2025-02-14,Rotterdam,Dubai,Sea,Electronics,8122.51,494.02,3.76,0.3,Storm,0.859,34.48,0,Medium
SC-10934,2025-05-18,Hamburg,Los Angeles,Road,Pharmaceuticals,2989.35,195.31,2.63,4.1,Rain,0.51,1.59,0,Medium
SC-10935,2024-03-16,Shanghai,Los Angeles,Sea,Electronics,4448.46,366.57,1.83,0.3,Hurricane,0.553,49.79,1,Low
SC-10936,2025-08-13,Antwerp,Singapore,Road,Perishables,766.66,342.68,4.18,3.7,Storm,0.68,1.92,1,High
SC-10937,2025-10-06,Los Angeles,Busan,Rail,Pharmaceuticals,13757.33,106.83,1.85,1.7,Rain,0.577,11.98,0,Low
SC-10938,2025-12-03,Singapore,Busan,Rail,Pharmaceuticals,2207.39,120.26,1.29,2.5,Clear,0.538,2.41,0,Low
SC-10939,2024-02-24,Singapore,Marseille,Air,Electronics,8859.49,141.36,1.27,8.8,Clear,0.82,0.5,0,Low
SC-10940,2024-06-04,Busan,Hamburg,Road,Electronics,4473.8,206.15,3.25,4.4,Clear,0.908,2.79,0,Medium
SC-10941,2024-06-01,Rotterdam,Antwerp,Air,Pharmaceuticals,8535.58,117.93,3.38,2.7,Rain,0.876,0.91,1,Medium
SC-10942,2025-07-30,Dubai,Shanghai,Rail,Textiles,9945.6,10.81,2.23,5.9,Fog,0.909,14.22,0,Medium
SC-10943,2024-11-07,Shanghai,Marseille,Road,Perishables,12531.26,439.82,2.26,1.4,Storm,0.833,24.18,1,Medium
SC-10944,2024-03-28,Los Angeles,Busan,Road,Textiles,3493.11,482.84,2.32,2.6,Rain,0.868,3.45,0,Medium
SC-10945,2024-09-11,Rotterdam,Marseille,Rail,Electronics,659.44,171.44,3.44,5.5,Hurricane,0.636,5.5,1,Medium
SC-10946,2024-05-01,Busan,Dubai,Air,Textiles,2484.84,169.91,1.39,2.4,Hurricane,0.997,0.7,1,Low
SC-10947,2025-07-25,Shanghai,Antwerp,Road,Perishables,13550.27,4.54,4.27,6.8,Hurricane,0.592,86.9,1,High
SC-10948,2025-03-02,Dubai,Los Angeles,Air,Electronics,13171.41,340.45,1.93,4.9,Rain,0.607,0.5,1,Low
SC-10949,2025-09-12,Singapore,Marseille,Road,Perishables,9162.49,412.89,4.5,7.7,Rain,0.644,9.28,0,High
SC-10950,2025-09-02,Singapore,Hamburg,Air,Perishables,9207.49,74.16,1.77,9.5,Clear,0.988,0.67,1,Low
SC-10951,2025-09-25,Dubai,Singapore,Sea,Pharmaceuticals,10143.03,80.67,3.75,1.2,Rain,0.994,18.51,0,Medium
SC-10952,2024-08-19,Rotterdam,Singapore,Air,Pharmaceuticals,3042.88,395.25,1.94,3.3,Rain,0.897,0.81,0,Low
SC-10953,2025-06-19,Shanghai,Busan,Road,Electronics,13758.97,308.53,1.47,3.2,Storm,0.815,28.78,0,Low
SC-10954,2025-01-24,Rotterdam,Hamburg,Road,Electronics,6572.17,23.39,4.09,1.5,Fog,0.76,6.46,0,High
SC-10955,2025-04-06,Busan,Rotterdam,Air,Automotive,6055.51,311.65,4.03,8.1,Storm,0.985,1.58,1,High
SC-10956,2025-03-29,Los Angeles,Antwerp,Air,Automotive,8024.31,155.15,2.53,7.6,Hurricane,0.848,4.64,1,Medium
SC-10957,2024-10-31,Dubai,Singapore,Sea,Automotive,1181.01,184.99,3.52,4.8,Hurricane,0.972,16.27,1,Medium
SC-10958,2025-08-25,Dubai,Singapore,Rail,Perishables,2911.11,385.1,3.04,5.4,Fog,0.658,4.57,1,Medium
SC-10959,2025-03-15,Busan,Dubai,Rail,Electronics,11201.49,405.66,4.01,0.6,Fog,0.667,12.8,0,High
SC-10960,2024-11-08,Los Angeles,Singapore,Rail,Perishables,1700.58,200.78,2.24,5.6,Hurricane,0.927,12.0,1,Medium
SC-10961,2025-08-05,Singapore,Shanghai,Sea,Electronics,9245.71,473.63,2.93,7.9,Rain,0.575,21.63,0,Medium
SC-10962,2025-09-27,Antwerp,Busan,Rail,Textiles,4057.56,203.82,2.8,5.7,Rain,0.973,4.39,1,Medium
SC-10963,2024-03-02,Dubai,Shanghai,Rail,Pharmaceuticals,6144.79,386.15,2.37,2.7,Fog,0.754,6.44,0,Medium
SC-10964,2025-09-16,Rotterdam,Antwerp,Road,Textiles,4686.06,242.45,4.14,6.7,Hurricane,0.963,29.59,1,High
SC-10965,2024-04-11,Hamburg,Marseille,Sea,Electronics,5657.25,448.87,1.75,3.6,Storm,0.668,28.63,0,Low
SC-10966,2024-07-31,Singapore,Hamburg,Sea,Perishables,10926.17,453.97,1.69,5.4,Clear,0.858,18.93,0,Low
SC-10967,2025-10-02,Busan,Dubai,Sea,Electronics,4808.26,44.62,3.1,4.9,Fog,0.741,13.52,0,Medium
SC-10968,2024-08-04,Busan,Dubai,Air,Perishables,8712.87,468.31,3.37,3.8,Hurricane,0.813,4.91,1,Medium
SC-10969,2024-09-27,Hamburg,Antwerp,Rail,Automotive,7402.73,412.94,1.84,7.2,Rain,0.752,8.59,1,Low
SC-10970,2025-11-07,Busan,Shanghai,Rail,Automotive,10123.23,395.86,2.49,8.8,Fog,0.984,15.49,1,Medium
SC-10971,2024-03-24,Los Angeles,Dubai,Air,Pharmaceuticals,14084.03,101.25,4.32,0.1,Fog,0.846,0.64,0,High
SC-10972,2024-06-09,Rotterdam,Busan,Air,Perishables,11122.3,402.75,2.01,9.3,Storm,0.626,2.42,1,Medium
SC-10973,2024-09-02,Dubai,Singapore,Road,Electronics,3616.64,425.22,3.41,5.1,Hurricane,0.955,22.35,1,Medium
SC-10974,2024-06-26,Dubai,Antwerp,Sea,Pharmaceuticals,952.16,145.29,3.64,7.0,Clear,0.647,1.48,0,Medium
SC-10975,2025-07-19,Busan,Hamburg,Air,Pharmaceuticals,4302.83,476.18,2.68,8.6,Storm,0.686,1.49,1,Medium
SC-10976,2024-03-17,Hamburg,Busan,Sea,Automotive,9128.63,25.88,4.29,4.7,Rain,0.551,18.08,1,High
SC-10977,2024-06-09,Rotterdam,Busan,Rail,Automotive,1245.67,75.8,3.63,8.3,Hurricane,0.95,9.21,1,Medium
SC-10978,2024-01-03,Shanghai,Marseille,Road,Pharmaceuticals,7697.31,269.25,2.71,1.8,Rain,0.643,6.94,0,Medium
SC-10979,2025-02-22,Rotterdam,Dubai,Rail,Pharmaceuticals,9154.22,288.32,3.08,1.6,Clear,0.629,6.86,0,Medium
SC-10980,2025-04-06,Busan,Shanghai,Sea,Automotive,5346.54,322.93,3.49,6.6,Clear,0.96,9.6,0,Medium
SC-10981,2025-12-06,Hamburg,Singapore,Road,Pharmaceuticals,11678.23,9.47,3.15,8.7,Clear,0.903,10.66,1,Medium
SC-10982,2025-08-31,Hamburg,Los Angeles,Air,Electronics,2045.67,480.22,4.1,8.9,Storm,0.571,1.09,1,High
SC-10983,2025-04-26,Dubai,Singapore,Air,Perishables,1589.5,23.25,2.38,6.4,Clear,0.885,0.57,1,Medium
SC-10984,2024-10-25,Busan,Singapore,Sea,Electronics,11058.74,72.39,2.19,5.3,Fog,0.957,28.81,0,Medium
SC-10985,2024-02-03,Singapore,Rotterdam,Rail,Pharmaceuticals,7684.62,7.99,1.91,3.3,Storm,0.539,18.52,1,Low
SC-10986,2024-08-25,Antwerp,Shanghai,Road,Automotive,10481.83,283.86,1.32,9.8,Rain,0.913,11.31,1,Low
SC-10987,2024-10-22,Rotterdam,Dubai,Rail,Pharmaceuticals,6805.0,466.2,1.34,3.2,Fog,0.774,8.57,0,Low
SC-10988,2025-12-24,Singapore,Antwerp,Rail,Pharmaceuticals,4072.83,333.31,4.07,7.4,Fog,0.835,5.57,0,High
SC-10989,2024-10-16,Dubai,Los Angeles,Air,Textiles,12376.98,411.51,3.44,5.3,Storm,0.746,2.53,1,Medium
SC-10990,2025-12-20,Los Angeles,Rotterdam,Road,Automotive,12091.53,7.63,3.38,6.1,Rain,0.849,11.4,0,Medium
SC-10991,2025-04-09,Dubai,Shanghai,Rail,Electronics,10573.1,271.47,3.23,3.9,Fog,0.517,13.82,0,Medium
SC-10992,2024-03-13,Shanghai,Los Angeles,Sea,Pharmaceuticals,4446.1,230.32,4.0,9.6,Fog,0.881,14.11,0,Medium
SC-10993,2025-12-04,Antwerp,Dubai,Road,Electronics,9058.34,249.99,2.78,5.7,Rain,0.517,7.57,1,Medium
SC-10994,2024-08-27,Los Angeles,Singapore,Road,Textiles,5734.12,37.03,4.07,9.4,Storm,0.728,14.93,1,High
SC-10995,2024-09-27,Busan,Singapore,Air,Automotive,1827.94,342.53,2.39,0.1,Clear,0.575,0.5,0,Medium
SC-10996,2025-10-02,Rotterdam,Hamburg,Air,Automotive,13801.05,252.11,4.26,5.7,Rain,0.912,1.39,1,High
SC-10997,2025-08-26,Hamburg,Singapore,Rail,Perishables,2483.87,382.81,3.51,7.2,Fog,0.657,3.98,1,Medium
SC-10998,2025-11-08,Dubai,Shanghai,Sea,Perishables,14278.44,243.16,2.05,7.5,Rain,0.727,32.71,1,Medium
SC-10999,2024-07-21,Antwerp,Singapore,Rail,Pharmaceuticals,6967.08,75.54,3.06,9.0,Storm,0.714,20.95,1,Medium
SC-11000,2025-03-11,Dubai,Hamburg,Rail,Perishables,3184.43,324.48,2.96,0.0,Storm,0.886,6.68,1,Medium
SC-11001,2024-04-27,Shanghai,Marseille,Road,Textiles,8357.56,87.02,1.66,0.0,Storm,0.741,15.03,1,Low
SC-11002,2025-07-11,Shanghai,Hamburg,Air,Electronics,13157.71,436.32,3.15,4.7,Rain,0.894,0.7,1,Medium
SC-11003,2024-08-18,Shanghai,Dubai,Rail,Pharmaceuticals,11117.26,306.95,2.24,0.3,Rain,0.537,8.79,0,Medium
SC-11004,2025-10-25,Singapore,Antwerp,Road,Pharmaceuticals,12195.14,79.44,1.37,9.7,Fog,0.596,15.17,0,Low
SC-11005,2024-06-01,Rotterdam,Hamburg,Air,Perishables,10052.36,481.21,4.33,2.2,Storm,0.776,2.38,0,High
SC-11006,2024-09-29,Rotterdam,Marseille,Road,Automotive,10538.01,259.66,3.32,4.7,Fog,0.974,11.88,1,Medium
SC-11007,2024-05-25,Singapore,Rotterdam,Sea,Automotive,12813.34,37.38,4.09,0.6,Storm,0.537,55.2,1,High
SC-11008,2024-03-14,Los Angeles,Busan,Sea,Electronics,4120.19,313.79,3.43,5.2,Fog,0.522,11.46,0,Medium
SC-11009,2024-03-02,Shanghai,Marseille,Sea,Pharmaceuticals,7596.66,127.35,2.38,3.8,Hurricane,0.578,99.82,1,Medium
SC-11010,2024-06-18,Busan,Rotterdam,Air,Pharmaceuticals,3707.54,402.04,2.89,0.4,Fog,0.821,0.5,0,Medium
SC-11011,2024-11-10,Los Angeles,Dubai,Air,Perishables,14821.19,409.09,3.43,3.4,Fog,0.699,1.54,0,Medium
SC-11012,2025-09-01,Shanghai,Rotterdam,Road,Perishables,14188.86,489.49,4.37,3.9,Storm,0.913,30.44,1,High
SC-11013,2025-08-05,Singapore,Antwerp,Sea,Electronics,1071.69,251.43,2.04,9.9,Hurricane,0.536,16.94,1,Medium
SC-11014,2024-10-22,Antwerp,Busan,Air,Perishables,10730.84,228.02,4.09,2.1,Fog,0.598,1.11,0,High
SC-11015,2025-03-25,Busan,Shanghai,Road,Textiles,13916.1,376.98,4.25,5.4,Hurricane,0.65,84.12,1,High
SC-11016,2024-05-07,Hamburg,Los Angeles,Road,Automotive,3118.34,67.1,3.41,9.9,Storm,0.813,7.91,1,Medium
SC-11017,2025-04-24,Singapore,Busan,Sea,Textiles,8735.21,273.91,4.27,7.9,Hurricane,0.843,135.33,1,High
SC-11018,2025-12-06,Dubai,Busan,Sea,Electronics,13774.58,273.58,2.51,9.9,Fog,0.562,41.73,1,Medium
SC-11019,2024-11-07,Los Angeles,Hamburg,Road,Pharmaceuticals,992.22,45.65,4.34,9.7,Rain,0.972,0.76,1,High
SC-11020,2025-12-17,Shanghai,Dubai,Air,Automotive,10612.59,209.57,3.52,4.9,Rain,0.671,0.5,1,Medium
SC-11021,2025-02-16,Singapore,Busan,Air,Automotive,4811.56,426.79,1.34,7.0,Storm,0.857,1.29,1,Low
SC-11022,2024-10-05,Los Angeles,Marseille,Air,Automotive,13903.74,428.22,4.19,1.1,Hurricane,0.762,6.03,1,High
SC-11023,2025-05-27,Busan,Shanghai,Air,Textiles,14580.34,50.52,2.8,4.4,Storm,0.611,3.1,1,Medium
SC-11024,2025-07-06,Shanghai,Hamburg,Rail,Textiles,14191.86,46.27,2.72,8.1,Storm,0.923,40.25,1,Medium
SC-11025,2025-05-20,Busan,Hamburg,Sea,Automotive,7376.11,132.09,3.07,5.1,Clear,0.909,12.41,0,Medium
SC-11026,2025-03-24,Singapore,Shanghai,Sea,Electronics,12999.62,437.51,1.69,7.0,Clear,0.698,24.68,1,Low
SC-11027,2024-03-23,Dubai,Marseille,Rail,Perishables,12745.97,65.32,2.75,7.5,Storm,0.794,36.3,1,Medium
SC-11028,2025-09-04,Antwerp,Los Angeles,Sea,Electronics,5126.96,360.28,3.94,2.5,Fog,0.629,12.46,0,Medium
SC-11029,2024-02-10,Dubai,Los Angeles,Road,Pharmaceuticals,12519.27,51.48,1.25,8.8,Rain,0.845,11.96,0,Low
SC-11030,2025-03-18,Singapore,Shanghai,Sea,Electronics,1036.61,311.95,2.1,4.6,Storm,0.655,5.68,1,Medium
SC-11031,2024-11-26,Hamburg,Shanghai,Rail,Electronics,9145.91,178.68,1.21,2.1,Clear,0.922,6.7,0,Low
SC-11032,2025-09-10,Singapore,Busan,Road,Textiles,3835.13,394.67,2.57,8.7,Fog,0.609,4.54,1,Medium
SC-11033,2024-09-13,Shanghai,Singapore,Air,Electronics,2248.22,117.61,3.6,4.2,Hurricane,0.507,1.63,1,Medium
SC-11034,2024-01-27,Hamburg,Los Angeles,Sea,Automotive,1615.82,319.96,3.84,7.5,Rain,0.634,4.28,1,Medium
SC-11035,2024-04-03,Shanghai,Singapore,Rail,Textiles,10596.19,118.61,4.32,5.5,Hurricane,0.596,75.52,1,High
SC-11036,2024-08-22,Los Angeles,Marseille,Air,Textiles,5428.19,357.12,3.21,3.8,Fog,0.754,1.52,1,Medium
SC-11037,2025-11-21,Shanghai,Busan,Sea,Electronics,11009.12,436.97,2.04,8.1,Storm,0.602,65.08,1,Medium
SC-11038,2025-08-12,Shanghai,Antwerp,Sea,Pharmaceuticals,1447.67,64.27,4.25,5.8,Fog,0.882,3.5,0,High
SC-11039,2025-08-24,Los Angeles,Marseille,Rail,Perishables,5071.71,433.43,3.76,3.9,Hurricane,0.621,33.75,1,Medium
SC-11040,2024-01-22,Antwerp,Busan,Air,Textiles,8322.62,297.19,3.1,1.1,Storm,0.853,1.19,0,Medium
SC-11041,2025-11-19,Los Angeles,Shanghai,Sea,Perishables,11965.49,64.43,3.5,9.0,Clear,0.789,25.07,1,Medium
SC-11042,2024-10-02,Los Angeles,Dubai,Road,Automotive,5121.91,214.34,4.25,0.4,Rain,0.993,4.28,0,High
SC-11043,2025-08-13,Los Angeles,Marseille,Rail,Textiles,9575.42,81.27,3.55,8.6,Clear,1.0,9.43,1,Medium
SC-11044,2024-02-11,Rotterdam,Dubai,Air,Textiles,13346.68,350.47,2.42,3.6,Fog,0.935,1.67,0,Medium
SC-11045,2024-06-28,Antwerp,Hamburg,Sea,Perishables,9430.02,379.68,3.55,6.4,Rain,0.88,20.12,0,Medium
SC-11046,2025-04-26,Shanghai,Busan,Road,Automotive,3877.91,53.79,1.33,9.2,Fog,0.693,5.18,0,Low
SC-11047,2025-06-15,Dubai,Rotterdam,Air,Perishables,853.81,253.56,2.48,1.5,Fog,0.877,0.5,0,Medium
SC-11048,2025-10-29,Busan,Shanghai,Road,Textiles,13116.43,407.5,2.54,5.7,Fog,0.978,14.19,0,Medium
SC-11049,2025-03-28,Antwerp,Rotterdam,Rail,Perishables,808.41,468.15,1.75,7.6,Rain,0.512,1.32,0,Low
SC-11050,2024-10-11,Shanghai,Los Angeles,Sea,Textiles,13183.17,257.25,1.28,7.6,Hurricane,0.769,202.42,1,Low
SC-11051,2024-07-04,Rotterdam,Dubai,Sea,Perishables,8169.59,475.19,1.64,5.3,Rain,0.609,17.42,0,Low
SC-11052,2025-08-22,Rotterdam,Antwerp,Air,Pharmaceuticals,14116.48,268.31,3.36,6.2,Storm,0.779,2.8,1,Medium
SC-11053,2025-03-22,Antwerp,Busan,Rail,Pharmaceuticals,12082.36,197.7,3.85,7.6,Clear,0.733,10.94,0,Medium
SC-11054,2025-10-12,Dubai,Los Angeles,Sea,Perishables,14970.04,424.25,4.46,8.4,Hurricane,0.788,235.7,1,High
SC-11055,2025-05-18,Rotterdam,Antwerp,Road,Perishables,5585.32,247.0,2.34,7.6,Fog,0.775,6.4,1,Medium
SC-11056,2024-04-03,Busan,Los Angeles,Rail,Electronics,11624.23,236.48,3.18,3.5,Hurricane,0.98,75.89,1,Medium
SC-11057,2025-04-26,Dubai,Shanghai,Rail,Electronics,6328.0,245.67,4.29,10.0,Rain,0.776,8.44,0,High
SC-11058,2024-12-22,Dubai,Hamburg,Road,Textiles,7458.2,423.55,1.75,4.3,Storm,0.923,16.74,1,Low
SC-11059,2025-02-22,Dubai,Antwerp,Air,Textiles,9598.83,416.14,3.57,0.2,Storm,0.66,0.69,1,Medium
SC-11060,2024-12-07,Dubai,Rotterdam,Sea,Automotive,13168.32,202.36,3.69,3.6,Rain,0.719,25.58,1,Medium
SC-11061,2024-11-24,Antwerp,Hamburg,Sea,Automotive,14769.21,167.32,1.49,1.3,Clear,0.735,21.46,1,Low
SC-11062,2025-11-17,Antwerp,Shanghai,Sea,Perishables,11639.96,246.47,4.04,1.2,Rain,0.639,19.31,0,High
SC-11063,2024-04-17,Dubai,Rotterdam,Rail,Automotive,6557.62,286.81,3.88,2.8,Hurricane,0.69,41.84,1,Medium
SC-11064,2024-06-13,Los Angeles,Busan,Air,Electronics,6609.68,119.93,1.31,0.5,Clear,0.799,0.5,0,Low
SC-11065,2024-12-03,Los Angeles,Shanghai,Air,Textiles,11194.94,397.18,1.5,6.9,Storm,0.79,2.29,1,Low
SC-11066,2025-02-25,Antwerp,Shanghai,Air,Pharmaceuticals,3962.27,243.75,1.36,0.7,Fog,0.818,0.99,1,Low
SC-11067,2025-12-11,Hamburg,Los Angeles,Air,Perishables,2101.87,167.69,2.3,2.0,Storm,0.676,0.5,1,Medium
SC-11068,2025-05-22,Dubai,Singapore,Sea,Textiles,5642.02,54.3,2.88,0.9,Clear,0.658,7.98,0,Medium
SC-11069,2024-10-22,Busan,Marseille,Air,Electronics,4664.97,120.18,2.96,0.6,Rain,0.806,0.59,0,Medium
SC-11070,2025-11-09,Busan,Rotterdam,Air,Textiles,4796.47,474.69,2.08,2.7,Rain,0.566,0.87,1,Medium
SC-11071,2025-02-14,Antwerp,Hamburg,Air,Electronics,3887.31,153.24,4.21,5.7,Rain,0.627,0.5,1,High
SC-11072,2025-07-17,Singapore,Marseille,Air,Textiles,1110.35,85.26,2.42,9.6,Storm,0.521,0.6,1,Medium
SC-11073,2024-02-07,Singapore,Busan,Air,Electronics,759.17,230.88,1.35,8.8,Fog,0.536,0.5,1,Low
SC-11074,2025-04-10,Hamburg,Busan,Rail,Perishables,14821.97,154.24,2.19,8.8,Fog,0.622,22.16,1,Medium
SC-11075,2024-03-31,Singapore,Dubai,Road,Automotive,6702.71,18.54,2.95,1.8,Hurricane,0.51,34.78,1,Medium
SC-11076,2024-11-18,Rotterdam,Hamburg,Sea,Textiles,6072.74,162.25,2.55,2.6,Clear,0.623,9.17,0,Medium
SC-11077,2024-09-15,Hamburg,Shanghai,Road,Textiles,10354.89,272.51,2.1,0.8,Storm,0.827,18.91,0,Medium
SC-11078,2024-11-27,Singapore,Shanghai,Air,Pharmaceuticals,3664.68,276.3,1.63,7.8,Storm,0.531,1.48,1,Low
