Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred
SC-10537,6/3/2025,Singapore,Hamburg,Sea,Perishables,4086.55,438.69,1.5,6.5,Hurricane,0.667,60.7,1
SC-10538,11/12/2024,Shanghai,Rotterdam,Sea,Textiles,7032.89,264.57,3.06,5.3,Rain,0.509,14.81,0
SC-10539,11/13/2025,Rotterdam,Shanghai,Sea,Electronics,2372.81,234.16,2.78,6,Clear,0.875,3.63,0
SC-10540,2/22/2025,Busan,Hamburg,Sea,Automotive,14333.74,54.25,1.55,4.2,Rain,0.82,28.49,0
SC-10541,11/30/2024,Antwerp,Dubai,Air,Automotive,9289.53,325.13,3.22,3,Hurricane,0.531,2.85,1
SC-10542,2/16/2025,Shanghai,Dubai,Sea,Pharmaceuticals,3815.32,434.13,3.64,0.5,Clear,0.982,5.18,0
SC-10543,12/14/2025,Shanghai,Marseille,Road,Textiles,10239.66,414.26,3.73,7.4,Clear,0.511,8.38,0
SC-10544,10/29/2024,Hamburg,Shanghai,Air,Perishables,9462.86,313.4,4.19,7.5,Clear,0.795,0.61,1
SC-10545,7/21/2025,Los Angeles,Rotterdam,Air,Perishables,5693.36,38.56,2.55,6.7,Storm,0.888,2.18,1
SC-10546,5/10/2024,Dubai,Busan,Sea,Textiles,2146.59,57.09,4.35,6.4,Clear,0.894,4.23,1
SC-10547,7/15/2024,Shanghai,Hamburg,Rail,Pharmaceuticals,10237.81,25.61,4.06,2.4,Hurricane,0.517,64.07,1
SC-10548,3/6/2025,Singapore,Busan,Rail,Pharmaceuticals,8044.46,129.48,2.18,0.2,Storm,0.953,16.12,0
SC-10549,11/11/2025,Antwerp,Hamburg,Rail,Automotive,11698.62,68.7,1.73,8.1,Storm,0.959,34.04,1
SC-10550,1/23/2025,Antwerp,Busan,Air,Electronics,8042.37,130.76,2.64,4.9,Rain,0.781,0.5,0
SC-10551,11/24/2025,Hamburg,Rotterdam,Road,Automotive,12856.63,193.14,2.53,3.1,Storm,0.741,26.09,1
SC-10552,6/27/2024,Singapore,Shanghai,Road,Textiles,8502.65,471.55,3.1,1,Clear,0.522,4.92,0
SC-10553,9/22/2025,Rotterdam,Busan,Road,Textiles,8633.6,305.58,3.13,0.6,Hurricane,0.781,41.5,1
SC-10554,8/5/2025,Busan,Singapore,Sea,Electronics,13211.48,417.65,3.67,3.5,Storm,0.705,64.01,1
SC-10555,11/4/2024,Busan,Dubai,Rail,Perishables,6350.5,355.47,2.88,8,Rain,0.886,7.86,1
SC-10556,2/19/2025,Singapore,Hamburg,Air,Electronics,2443.22,57.14,1.55,9.2,Hurricane,0.702,1.41,1
SC-10557,7/15/2025,Los Angeles,Antwerp,Road,Automotive,917.35,368.22,4.03,9,Clear,0.842,0.54,0
SC-10558,1/1/2024,Hamburg,Antwerp,Sea,Pharmaceuticals,11449.49,138.27,2.22,9.2,Storm,0.551,69.65,1
SC-10559,11/7/2024,Los Angeles,Rotterdam,Rail,Pharmaceuticals,9494.49,319.91,4.41,9.1,Storm,0.566,29.34,1
SC-10560,10/20/2024,Singapore,Busan,Air,Perishables,10709.16,171.14,1.59,5.3,Fog,0.57,1.06,0
SC-10561,8/3/2024,Los Angeles,Dubai,Road,Electronics,3587.98,498.84,4.36,2.2,Hurricane,0.523,19.23,1
SC-10562,3/16/2025,Rotterdam,Dubai,Air,Electronics,2477.39,132.51,1.5,8,Fog,0.771,0.5,1
SC-10563,8/16/2025,Singapore,Dubai,Rail,Electronics,710.9,140.29,1.96,2.1,Fog,0.897,0.51,0
SC-10564,9/13/2025,Dubai,Shanghai,Sea,Textiles,5583.52,465.41,1.35,2.7,Storm,0.805,26.55,1
SC-10565,11/1/2025,Los Angeles,Antwerp,Sea,Pharmaceuticals,9053.81,13.3,3.53,2.3,Rain,0.787,17.8,1
SC-10566,11/25/2024,Singapore,Busan,Sea,Textiles,6187.54,348.65,4.01,5.1,Hurricane,0.84,87.17,1
SC-10567,4/21/2025,Rotterdam,Hamburg,Rail,Electronics,6843.39,362.94,2.63,3.2,Clear,0.67,5.81,1
SC-10568,3/28/2025,Shanghai,Singapore,Road,Electronics,13610.3,418.35,4.26,1.5,Rain,0.681,10.55,0
SC-10569,3/28/2025,Hamburg,Singapore,Air,Pharmaceuticals,5549.7,487.25,3.15,4.5,Clear,0.657,1.06,0
SC-10570,11/22/2025,Antwerp,Los Angeles,Road,Textiles,7952.85,487.83,3.28,8.7,Hurricane,0.856,54.82,1
SC-10571,8/6/2024,Dubai,Singapore,Road,Pharmaceuticals,11862.97,33.57,3.99,5.7,Hurricane,0.581,71.46,1
SC-10572,6/7/2025,Antwerp,Rotterdam,Road,Textiles,6249.87,411.1,2.18,8.8,Hurricane,0.507,42.3,1
SC-10573,4/29/2025,Antwerp,Shanghai,Rail,Perishables,9520.26,323.51,2.37,2,Rain,0.798,8.88,0
SC-10574,6/22/2024,Los Angeles,Hamburg,Road,Automotive,13004.27,324.02,4.19,1.7,Clear,0.971,7.49,0
SC-10575,11/5/2025,Singapore,Antwerp,Air,Pharmaceuticals,14268.05,65.05,4.17,5.8,Fog,0.805,0.99,0
SC-10576,3/27/2024,Shanghai,Rotterdam,Rail,Automotive,2632.57,325.44,4.42,4.6,Rain,0.891,2.35,0
SC-10577,10/17/2024,Shanghai,Antwerp,Road,Automotive,13935.52,491.26,4.18,6.6,Storm,0.836,32.97,1
SC-10578,6/11/2025,Hamburg,Shanghai,Rail,Electronics,7635.69,456,1.62,7.9,Fog,0.749,10.97,0
SC-10579,11/10/2025,Dubai,Los Angeles,Air,Pharmaceuticals,4244.54,220.13,3.92,7.5,Hurricane,0.859,2.29,1
SC-10580,10/10/2025,Dubai,Antwerp,Sea,Perishables,7157.47,20.93,2.55,9.4,Clear,0.912,15.04,1
SC-10581,9/26/2025,Hamburg,Busan,Air,Electronics,14710.47,181.78,4.47,4,Rain,0.612,0.97,1
SC-10582,12/9/2024,Los Angeles,Shanghai,Rail,Textiles,7642.96,413.37,2.76,2.1,Fog,0.668,8.59,0
SC-10583,4/5/2024,Los Angeles,Dubai,Road,Electronics,5266.9,351.05,3.03,5.5,Hurricane,0.612,31.31,1
SC-10584,8/28/2024,Busan,Marseille,Sea,Textiles,9684.31,230.21,2.95,1.1,Hurricane,0.726,114.07,1
SC-10585,11/19/2025,Antwerp,Busan,Road,Automotive,3982.11,28.5,2.26,2.9,Clear,0.943,2.38,0
SC-10586,11/13/2024,Singapore,Busan,Rail,Textiles,1600.02,214.02,1.45,2.1,Rain,0.673,0.93,0
SC-10587,8/18/2024,Hamburg,Shanghai,Air,Electronics,2368.76,235.04,4.16,4,Clear,0.687,0.5,1
SC-10588,7/22/2024,Rotterdam,Shanghai,Sea,Textiles,2356.66,464.35,3.85,1.1,Rain,0.93,3.76,0
SC-10589,5/30/2024,Antwerp,Rotterdam,Air,Electronics,2702.59,320.9,1.66,0.3,Hurricane,0.758,0.88,1
SC-10590,1/26/2024,Shanghai,Marseille,Air,Electronics,2512.99,156.51,3.76,6.6,Fog,0.768,0.5,1
SC-10591,2/17/2024,Shanghai,Antwerp,Road,Automotive,9792.68,263.13,3.27,6.1,Storm,0.93,22.66,0
SC-10592,9/7/2024,Hamburg,Antwerp,Rail,Automotive,3137.26,33.96,2.55,7.1,Rain,0.745,4.7,0
SC-10593,5/1/2025,Dubai,Los Angeles,Air,Electronics,5512.18,486.31,2.04,6.6,Fog,0.841,0.54,0
SC-10594,9/17/2025,Shanghai,Antwerp,Air,Pharmaceuticals,13503.43,180.67,4.04,1.1,Hurricane,0.543,6.26,1
SC-10595,3/15/2024,Hamburg,Dubai,Road,Automotive,7372.44,239.46,3.51,2.9,Hurricane,0.589,39.25,1
SC-10596,4/11/2025,Hamburg,Shanghai,Sea,Pharmaceuticals,10179.59,178.29,3.01,1.3,Clear,0.702,14.62,0
SC-10597,2/28/2025,Busan,Dubai,Sea,Perishables,2998.64,341.57,3.21,8.4,Storm,0.747,17.22,1
SC-10598,10/6/2025,Antwerp,Dubai,Rail,Pharmaceuticals,3288.19,331.45,1.5,7.5,Storm,0.983,8.93,0
SC-10599,8/12/2025,Busan,Marseille,Rail,Perishables,1092.59,357.95,2.76,2,Hurricane,0.985,6.89,1
SC-10600,7/18/2024,Los Angeles,Marseille,Rail,Electronics,2949.56,134.8,1.84,3.4,Storm,0.926,7.71,1
SC-10601,12/14/2025,Dubai,Busan,Rail,Automotive,4539.56,158.52,1.89,9.7,Storm,0.658,14.2,1
SC-10602,1/28/2025,Busan,Shanghai,Sea,Textiles,3066.65,63.5,3.38,5.9,Fog,0.982,8.17,1
SC-10603,5/21/2025,Busan,Hamburg,Sea,Perishables,1786.19,328.1,4.21,8,Storm,0.845,10.11,1
SC-10604,2/13/2025,Singapore,Busan,Road,Pharmaceuticals,2249.22,20.86,2.53,2.6,Hurricane,0.696,12.68,1
SC-10605,9/6/2024,Busan,Singapore,Air,Perishables,7181.29,299.24,1.89,2.1,Hurricane,0.851,4.34,1
SC-10606,5/31/2024,Shanghai,Rotterdam,Air,Perishables,3491.84,434.98,3.34,7.8,Storm,0.508,0.83,1
SC-10607,11/2/2025,Hamburg,Busan,Air,Pharmaceuticals,5781.91,445.53,4.07,6.9,Clear,0.573,0.87,0
SC-10608,12/5/2025,Shanghai,Rotterdam,Rail,Perishables,7799.55,225.07,3.67,6.8,Hurricane,0.915,58.26,1
SC-10609,1/6/2024,Antwerp,Los Angeles,Rail,Electronics,10510.73,230.19,4.07,5.5,Storm,0.823,28.33,0
SC-10610,4/19/2024,Los Angeles,Dubai,Road,Pharmaceuticals,1070.03,39.41,2.97,5.6,Rain,0.682,0.5,0
SC-10611,3/11/2025,Los Angeles,Singapore,Air,Automotive,12091.45,335.71,3.68,7.4,Hurricane,0.75,6.65,1
SC-10612,8/12/2024,Dubai,Antwerp,Road,Textiles,9604.56,410.81,1.66,2.7,Clear,0.953,6.69,0
SC-10613,6/29/2024,Antwerp,Singapore,Sea,Textiles,1685.51,123.08,2.35,3.5,Fog,0.816,4.74,1
SC-10614,12/13/2025,Dubai,Marseille,Road,Perishables,13166.89,211.23,2.49,8.7,Hurricane,0.699,89.62,1
SC-10615,6/14/2025,Singapore,Antwerp,Rail,Textiles,13852.65,419.58,2.89,3.1,Fog,0.56,15.64,1
SC-10616,4/20/2025,Hamburg,Busan,Road,Pharmaceuticals,1385.63,438.68,4.27,5.5,Hurricane,0.647,8.15,1
SC-10617,2/21/2024,Los Angeles,Marseille,Sea,Pharmaceuticals,4514.73,122.35,4.09,7,Clear,0.989,8.98,0
SC-10618,7/24/2025,Hamburg,Singapore,Rail,Automotive,12189.92,275.73,1.64,10,Storm,0.719,37.3,1
SC-10619,9/12/2024,Shanghai,Los Angeles,Rail,Pharmaceuticals,11349.77,97.05,1.77,4.4,Storm,0.736,28.2,1
SC-10620,5/4/2024,Antwerp,Singapore,Sea,Textiles,3175.55,51.84,2.38,4.3,Rain,0.749,6.5,0
SC-10621,4/12/2025,Dubai,Antwerp,Road,Electronics,3535.57,455.65,2.16,8.4,Hurricane,0.942,23.87,1
SC-10622,5/16/2024,Shanghai,Hamburg,Sea,Electronics,5871.85,410.43,3.23,8.1,Hurricane,0.802,91.82,1
SC-10623,4/20/2025,Rotterdam,Hamburg,Road,Automotive,7525.58,380.26,4.18,7.3,Hurricane,0.847,48.32,1
SC-10624,11/14/2025,Busan,Rotterdam,Road,Textiles,9464.69,25.33,4.38,4.6,Fog,0.695,10.25,1
SC-10625,6/27/2025,Dubai,Shanghai,Road,Automotive,5849.25,422.02,3.36,3.2,Clear,0.515,4.64,0
SC-10626,7/26/2025,Dubai,Rotterdam,Air,Perishables,7206.75,219.58,3.97,6.1,Fog,0.965,0.5,1
SC-10627,9/1/2025,Los Angeles,Shanghai,Rail,Electronics,11338.33,171.86,2.93,8.8,Clear,0.975,12.06,0
SC-10628,11/20/2024,Hamburg,Marseille,Air,Automotive,1031.91,273.69,1.89,8.8,Clear,0.975,0.5,0
SC-10629,3/29/2025,Rotterdam,Antwerp,Road,Automotive,4160.34,46.59,2.93,1.1,Fog,0.972,4.34,1
SC-10630,9/19/2025,Los Angeles,Shanghai,Rail,Perishables,10843.57,378.57,3.03,4.3,Storm,0.908,27.24,1
SC-10631,5/31/2025,Busan,Hamburg,Rail,Pharmaceuticals,13480.5,291.64,3.65,4.6,Fog,0.842,16.73,0
SC-10632,3/12/2025,Los Angeles,Busan,Sea,Electronics,7919.32,94.11,1.93,9.8,Fog,0.922,24.31,1
SC-10633,7/15/2025,Los Angeles,Antwerp,Air,Automotive,8215.65,94.93,2.42,6.8,Rain,0.8,0.96,1
SC-10634,4/1/2025,Los Angeles,Marseille,Rail,Perishables,2053.99,92.94,2.4,4.1,Rain,0.567,2.06,0
SC-10635,6/11/2024,Hamburg,Marseille,Road,Perishables,6987.48,29.44,4.37,0.3,Fog,0.696,6.88,0
SC-10636,5/1/2025,Los Angeles,Rotterdam,Rail,Pharmaceuticals,8222.95,294.31,2.67,5.7,Storm,0.986,22.69,1
SC-10637,4/5/2025,Los Angeles,Singapore,Sea,Textiles,4015.82,420.33,3.69,1,Storm,0.676,16.94,1
SC-10638,9/22/2024,Los Angeles,Shanghai,Air,Perishables,4404.03,9.73,3.68,8.3,Fog,0.934,0.5,1
SC-10639,9/10/2024,Los Angeles,Antwerp,Sea,Textiles,5970.62,25.45,2.08,7.5,Clear,0.547,10.76,0
SC-10640,10/14/2025,Dubai,Marseille,Air,Pharmaceuticals,791.03,286.81,3.09,4.6,Clear,0.667,0.5,1
SC-10641,10/10/2024,Rotterdam,Hamburg,Road,Automotive,5170.15,409.93,4.15,4.3,Fog,0.675,6.16,1
SC-10642,6/17/2025,Shanghai,Rotterdam,Air,Automotive,3566,164.04,2.77,9,Storm,0.526,1.09,1
SC-10643,5/11/2025,Shanghai,Los Angeles,Road,Electronics,5248.71,175.46,4.32,2.9,Rain,0.56,4.02,0
SC-10644,10/3/2025,Shanghai,Dubai,Sea,Electronics,2236.55,298.58,1.91,2.5,Fog,0.597,5.23,0
SC-10645,9/1/2024,Busan,Antwerp,Road,Perishables,13412.65,137.83,1.44,9.4,Fog,0.919,18.3,0
SC-10646,10/8/2024,Singapore,Busan,Sea,Automotive,9107.09,14.28,4.14,8.1,Clear,0.532,18.72,0
SC-10647,3/26/2025,Singapore,Busan,Sea,Pharmaceuticals,10346.98,367.88,4,8.2,Rain,0.649,24.45,0
SC-10648,3/20/2024,Busan,Rotterdam,Rail,Perishables,11942.98,313.2,4.48,2,Fog,0.505,12.33,0
SC-10649,12/31/2025,Dubai,Antwerp,Road,Textiles,7727.41,290.8,3.44,1.4,Hurricane,0.848,39.58,1
SC-10650,10/19/2024,Dubai,Marseille,Sea,Electronics,1760.34,371.1,4.29,0.3,Clear,0.81,2.94,0
SC-10651,8/28/2024,Busan,Antwerp,Rail,Pharmaceuticals,8288.04,337.94,3.93,2.4,Storm,0.822,19.43,1
SC-10652,10/5/2024,Hamburg,Singapore,Sea,Textiles,9009.2,103.74,3.99,7.7,Hurricane,0.687,139.21,1
SC-10653,12/9/2024,Busan,Los Angeles,Road,Pharmaceuticals,11308.87,176.89,3.08,2.4,Hurricane,0.604,60.49,1
SC-10654,11/23/2024,Rotterdam,Shanghai,Air,Perishables,6759.06,63.93,2.46,7.3,Clear,0.86,0.5,0
SC-10655,7/7/2025,Hamburg,Rotterdam,Rail,Perishables,2349.91,65.8,4.28,2.5,Rain,0.906,1.76,0
SC-10656,3/23/2024,Antwerp,Dubai,Sea,Pharmaceuticals,4614.75,338.42,2.63,4,Storm,0.569,22.87,1
SC-10657,5/21/2024,Los Angeles,Dubai,Air,Perishables,5764.69,429.44,2.98,9.8,Rain,0.743,1.07,1
SC-10658,6/3/2024,Rotterdam,Singapore,Road,Electronics,9865.8,481.4,2.67,2.4,Clear,0.624,6.21,0
SC-10659,8/24/2024,Singapore,Rotterdam,Rail,Pharmaceuticals,8776.29,314.55,3.06,3.8,Hurricane,0.584,58.16,1
SC-10660,1/27/2025,Antwerp,Busan,Air,Textiles,5663.4,92.87,2.75,3,Storm,0.867,1.17,0
SC-10661,12/11/2025,Busan,Rotterdam,Air,Textiles,14804.47,53.72,1.36,1.1,Rain,0.769,1.77,0
SC-10662,6/5/2024,Singapore,Busan,Sea,Perishables,9283.73,406.61,4.11,4.9,Fog,0.608,24.06,0
SC-10663,12/24/2025,Dubai,Marseille,Road,Perishables,3939.79,289.8,2.67,3.8,Fog,0.655,3.31,0
SC-10664,8/7/2024,Antwerp,Shanghai,Sea,Perishables,1975.85,309.52,3.14,6.9,Hurricane,0.983,29.9,1
SC-10665,3/6/2024,Rotterdam,Antwerp,Rail,Electronics,2716.46,390.95,1.66,8.2,Hurricane,0.924,22.33,1
SC-10666,2/28/2025,Busan,Hamburg,Air,Automotive,4066.39,351.94,1.21,5.4,Rain,0.94,0.68,1
SC-10667,2/21/2025,Shanghai,Singapore,Road,Pharmaceuticals,2829.88,417.39,2.01,0.3,Hurricane,0.73,13.3,1
SC-10668,12/4/2024,Busan,Marseille,Sea,Automotive,3205.22,29.05,3.53,6.2,Fog,0.812,8.2,1
SC-10669,7/9/2025,Dubai,Rotterdam,Sea,Pharmaceuticals,4633.88,374.01,1.53,0.6,Storm,0.688,19.37,1
SC-10670,4/22/2025,Singapore,Busan,Air,Textiles,3013.92,425.58,4.2,6.2,Storm,0.539,1.62,1
SC-10671,3/1/2025,Singapore,Shanghai,Rail,Electronics,13503.1,143.78,1.91,6.9,Storm,0.701,37.6,1
SC-10672,3/4/2024,Los Angeles,Singapore,Air,Perishables,1663.39,320.58,1.88,2,Fog,0.797,0.5,0
SC-10673,7/30/2024,Antwerp,Los Angeles,Rail,Automotive,8105.42,157.77,1.8,8.2,Fog,0.644,11.82,1
SC-10674,3/6/2025,Shanghai,Los Angeles,Rail,Automotive,6450.75,479.03,1.25,9.1,Rain,0.924,7.67,0
SC-10675,2/2/2025,Dubai,Antwerp,Road,Electronics,14744.49,17.68,3.75,8.1,Storm,0.576,37.82,1
SC-10676,8/21/2025,Dubai,Rotterdam,Air,Perishables,2124.56,290.32,4.09,3.1,Clear,0.684,0.5,0
SC-10677,12/13/2025,Hamburg,Antwerp,Road,Electronics,6268.91,84.09,3.23,5.9,Hurricane,0.562,39.2,1
SC-10678,1/21/2024,Rotterdam,Los Angeles,Air,Electronics,14557.32,356.4,1.82,9.1,Storm,0.702,3.38,1
SC-10679,8/12/2025,Hamburg,Dubai,Air,Electronics,13049.85,88.77,2.14,3.2,Rain,0.52,1.55,0
SC-10680,1/24/2025,Los Angeles,Marseille,Rail,Textiles,12347.55,118.46,2.77,8.2,Rain,0.636,15.3,1
SC-10681,5/3/2025,Hamburg,Los Angeles,Sea,Perishables,4239.59,247.69,4.35,0.1,Rain,0.7,7.14,0
SC-10682,1/7/2024,Busan,Singapore,Rail,Automotive,2977.87,457.5,2.02,0,Storm,0.739,6.06,0
SC-10683,12/26/2024,Dubai,Marseille,Rail,Pharmaceuticals,10195.33,106.65,3.61,7.6,Rain,0.772,11.76,1
SC-10684,11/1/2024,Dubai,Marseille,Sea,Automotive,13975.95,72.98,2.65,7.6,Rain,0.637,32.11,0
SC-10685,2/3/2025,Rotterdam,Singapore,Sea,Textiles,8573.06,379.73,2.18,7.9,Storm,0.762,48.98,1
SC-10686,3/5/2025,Busan,Hamburg,Air,Automotive,8788.38,250.81,2.7,9.3,Hurricane,0.755,6.14,1
SC-10687,7/5/2025,Antwerp,Hamburg,Sea,Perishables,4559.7,455.98,1.43,1.2,Clear,0.658,6.83,1
SC-10688,7/13/2025,Los Angeles,Shanghai,Sea,Automotive,11657.65,74.16,3.84,2.3,Clear,0.915,17.49,0
SC-10689,9/9/2025,Antwerp,Busan,Air,Electronics,3212.13,323.32,2,9,Storm,0.773,0.5,1
SC-10690,8/13/2024,Dubai,Busan,Sea,Automotive,5193.35,117.21,3.59,1.8,Clear,0.666,6.69,1
SC-10691,5/14/2025,Dubai,Antwerp,Rail,Electronics,6668.83,79.22,1.43,6.8,Fog,0.974,9.7,1
SC-10692,8/12/2024,Antwerp,Marseille,Air,Electronics,7860.35,342.03,4.35,5.3,Rain,0.923,0.5,1
SC-10693,10/6/2024,Hamburg,Dubai,Sea,Pharmaceuticals,4014.94,297.25,1.84,0.8,Storm,0.991,17.2,0
SC-10694,3/22/2025,Busan,Dubai,Road,Textiles,2165.13,377.66,4.11,2.9,Clear,0.846,1.72,0
SC-10695,5/12/2025,Rotterdam,Antwerp,Rail,Textiles,9353.99,155.42,3.87,5.2,Storm,0.689,24.3,1
SC-10696,1/30/2024,Rotterdam,Dubai,Sea,Electronics,4685.14,224.54,4.39,8.5,Storm,0.64,28.11,1
SC-10697,2/2/2025,Los Angeles,Shanghai,Road,Pharmaceuticals,8927.95,203.33,2.78,7.1,Rain,0.832,8.68,1
SC-10698,12/10/2024,Shanghai,Rotterdam,Sea,Perishables,2738.26,492.06,3.6,6.2,Fog,0.99,7.44,1
SC-10699,11/15/2025,Hamburg,Busan,Road,Pharmaceuticals,7476.53,146.83,2.42,5,Hurricane,0.813,43.65,1
SC-10700,11/26/2025,Los Angeles,Antwerp,Rail,Electronics,8222.55,148.11,1.81,3,Clear,0.941,6.15,1
SC-10701,2/18/2025,Antwerp,Dubai,Sea,Automotive,1251.44,177.92,2.66,1.2,Storm,0.665,5.83,0
SC-10702,6/18/2024,Antwerp,Rotterdam,Rail,Pharmaceuticals,5380.76,282.73,1.75,4.1,Hurricane,0.703,35.67,1
SC-10703,4/23/2025,Los Angeles,Rotterdam,Sea,Perishables,2449.01,126.91,4.44,0.3,Storm,0.953,10.95,1
SC-10704,5/10/2024,Rotterdam,Antwerp,Rail,Perishables,1418.94,457.73,1.52,2.1,Storm,0.878,4.44,1
SC-10705,9/29/2025,Rotterdam,Antwerp,Air,Pharmaceuticals,14854.42,133.58,3.14,4.3,Fog,0.991,1.74,0
SC-10706,6/30/2025,Busan,Hamburg,Road,Perishables,5174.13,448.01,3.27,4.2,Storm,0.887,11.92,1
SC-10707,1/28/2024,Singapore,Antwerp,Air,Pharmaceuticals,12243.18,52.63,2.98,0.4,Hurricane,0.724,5.57,1
SC-10708,2/7/2025,Rotterdam,Hamburg,Rail,Textiles,4192.29,328.62,3.39,5.9,Clear,0.766,3.5,1
SC-10709,8/29/2025,Antwerp,Shanghai,Sea,Electronics,10381.79,453.59,1.58,5.5,Fog,0.95,27.67,1
SC-10710,7/31/2025,Busan,Shanghai,Sea,Automotive,11523.3,85.21,3.03,0.8,Rain,0.776,20.96,0
SC-10711,11/9/2025,Rotterdam,Shanghai,Sea,Automotive,9136.76,484.2,2.15,9.4,Fog,0.628,27.75,1
SC-10712,1/28/2024,Dubai,Shanghai,Air,Automotive,7337.85,226.99,4.3,1,Hurricane,0.718,2.69,1
SC-10713,3/26/2024,Busan,Singapore,Air,Perishables,6471.69,472.91,3.71,8.5,Fog,0.758,0.5,1
SC-10714,10/20/2025,Hamburg,Antwerp,Rail,Electronics,5558.59,338.73,4.41,0,Clear,0.548,3.75,1
SC-10715,3/14/2025,Hamburg,Shanghai,Air,Textiles,13978.17,151.49,1.32,8.8,Rain,0.872,0.76,1
SC-10716,5/18/2024,Singapore,Busan,Air,Textiles,12543.98,94.96,2.14,0.2,Storm,0.555,2.82,1
SC-10717,4/17/2025,Antwerp,Shanghai,Road,Pharmaceuticals,14492.89,152.56,1.84,7.6,Rain,0.702,14.38,1
SC-10718,7/5/2024,Shanghai,Busan,Rail,Textiles,2302.31,47.42,1.24,3.6,Storm,0.902,6.15,1
SC-10719,2/21/2024,Rotterdam,Singapore,Sea,Automotive,11097.58,72.79,2,7.4,Fog,0.734,31.5,0
SC-10720,9/23/2024,Singapore,Hamburg,Rail,Pharmaceuticals,14105.94,53.23,3.44,4,Clear,0.921,11.19,0
SC-10721,1/23/2025,Los Angeles,Antwerp,Road,Electronics,3127.88,212.05,1.96,0.7,Rain,0.671,1.66,0
SC-10722,12/1/2024,Hamburg,Los Angeles,Road,Textiles,1464.2,397.99,2.88,7.7,Rain,0.979,0.99,1
SC-10723,8/4/2024,Busan,Los Angeles,Sea,Perishables,11246.25,71.55,4.13,0.7,Rain,0.605,19.59,0
SC-10724,4/10/2025,Shanghai,Busan,Road,Textiles,8829.86,66.03,3.49,9.2,Rain,0.519,9.47,1
SC-10725,11/30/2024,Busan,Antwerp,Air,Electronics,12706.52,322.07,2.5,0.5,Hurricane,0.936,5.73,1
SC-10726,12/11/2024,Dubai,Shanghai,Air,Perishables,2526.7,99.39,2.43,4.8,Storm,0.876,0.5,1
SC-10727,1/23/2025,Hamburg,Los Angeles,Air,Perishables,12031.38,49.71,2.7,7.2,Hurricane,0.616,6.83,1
SC-10728,10/11/2024,Dubai,Busan,Road,Perishables,3423.6,84.26,1.78,3.9,Storm,0.992,6.8,0
SC-10729,3/7/2025,Dubai,Shanghai,Sea,Automotive,2873.01,461.94,3.29,2.2,Storm,0.751,13.47,0
SC-10730,9/15/2024,Hamburg,Dubai,Air,Textiles,2881.85,410.91,2.4,7.6,Rain,0.976,0.5,0
SC-10731,3/24/2024,Dubai,Busan,Road,Electronics,12311.33,177.68,4.01,7.8,Rain,0.753,11.66,0
SC-10732,4/26/2025,Singapore,Antwerp,Road,Textiles,10145.36,328.25,3.7,9.2,Clear,0.736,9.31,0
SC-10733,1/20/2024,Antwerp,Marseille,Road,Pharmaceuticals,8084.45,269.1,3.21,3.8,Storm,0.725,18.32,1
SC-10734,7/6/2025,Shanghai,Singapore,Rail,Pharmaceuticals,5703.04,338.89,2.4,5.1,Hurricane,0.667,40.12,1
SC-10735,2/23/2024,Dubai,Marseille,Rail,Textiles,13219.41,341.65,1.89,3.6,Rain,0.767,12.93,0
SC-10736,12/24/2024,Los Angeles,Marseille,Air,Textiles,6190.45,314.74,3.76,2.6,Hurricane,0.726,2.75,1
SC-10737,8/17/2024,Rotterdam,Hamburg,Sea,Automotive,12340.69,133.78,2.81,7.5,Fog,0.518,35.26,1
SC-10738,10/27/2025,Hamburg,Marseille,Sea,Textiles,6867.46,20.46,1.94,3.4,Rain,0.63,13.01,1
SC-10739,3/11/2024,Dubai,Hamburg,Road,Textiles,5965.69,228.33,1.84,4.3,Clear,0.607,4.44,1
SC-10740,10/29/2025,Dubai,Hamburg,Air,Perishables,7208.86,445.6,1.75,4,Storm,0.934,0.78,0
SC-10741,2/11/2024,Busan,Antwerp,Sea,Automotive,4869.98,285.18,3.76,7.1,Clear,0.799,8.23,0
SC-10742,2/1/2024,Busan,Los Angeles,Rail,Automotive,11340.34,416.36,1.96,9.2,Rain,0.882,13.9,0
SC-10743,9/10/2024,Shanghai,Singapore,Sea,Automotive,7789.45,495.82,2.94,6.7,Hurricane,0.978,115.41,1
SC-10744,7/23/2024,Antwerp,Marseille,Rail,Electronics,3867.08,82.64,2.69,4.7,Fog,0.822,4.69,1
SC-10745,1/21/2024,Hamburg,Singapore,Rail,Pharmaceuticals,13543.83,346.2,3.11,7.8,Fog,0.991,18.96,0
SC-10746,9/28/2025,Busan,Singapore,Road,Automotive,6066.42,337.47,4.09,6.4,Rain,0.656,5.87,1
SC-10747,6/5/2024,Rotterdam,Singapore,Sea,Textiles,8381.52,490,4.06,0.6,Hurricane,0.593,95.46,1
SC-10748,9/1/2024,Rotterdam,Marseille,Rail,Perishables,13643.85,492.81,2.69,1,Hurricane,0.702,79.36,1
SC-10749,5/9/2024,Dubai,Marseille,Road,Pharmaceuticals,9551.45,343.65,1.25,0.4,Clear,0.735,6.68,0
